Park_ID,Park_Name,Recognition_Level,Recognition_Type,Recognition_Status,Year,Source_Title,Publisher,URL,Evidence_ID,Is_Final_Highest,Final_Highest_Status
GD-011,湛江经济技术开发区（东海岛）园中园,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0090,YES,SELECTED_FOR_CONSTRUCTION
GD-012,茂名滨海新区绿色化工和氢能产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0091,YES,SELECTED_FOR_CONSTRUCTION
GD-013,肇庆大旺新能源智能汽车产业城,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0092,YES,SELECTED_FOR_CONSTRUCTION
GD-014,潮州市新材料产业园,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0093,YES,SELECTED_FOR_CONSTRUCTION
GD-015,云浮新兴产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0094,YES,SELECTED_FOR_CONSTRUCTION
NAT-001,北京经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0028,YES,SELECTED_FOR_CONSTRUCTION
NAT-002,天津经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0029,YES,SELECTED_FOR_CONSTRUCTION
NAT-003,天津港保税区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0030,YES,SELECTED_FOR_CONSTRUCTION
NAT-004,河北保定高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0031,YES,SELECTED_FOR_CONSTRUCTION
NAT-005,河北沧州沧东经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0032,YES,SELECTED_FOR_CONSTRUCTION
NAT-006,河北唐山乐亭经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0033,YES,SELECTED_FOR_CONSTRUCTION
NAT-007,山西大同经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0034,NO,DESIGNATED
NAT-007,山西大同经济技术开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2024,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20251/ebf796a2685147b4819ce96fab3a6a61.pdf,S3E-0034,YES,DESIGNATED
NAT-008,山西阳泉高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0035,YES,SELECTED_FOR_CONSTRUCTION
NAT-009,内蒙古鄂尔多斯蒙苏经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0036,NO,DESIGNATED
NAT-009,内蒙古鄂尔多斯蒙苏经济开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2023,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20238/3ff037aa9258478aa7b05a7430313bc1.pdf,S3E-0036,YES,DESIGNATED
NAT-010,内蒙古包头稀土高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0037,YES,SELECTED_FOR_CONSTRUCTION
NAT-011,辽宁沈阳中德高端装备制造产业园,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0038,YES,SELECTED_FOR_CONSTRUCTION
NAT-012,吉林松原石油化学工业循环经济园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0039,YES,SELECTED_FOR_CONSTRUCTION
NAT-013,吉林辽源高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0040,YES,SELECTED_FOR_CONSTRUCTION
NAT-014,吉林四平新型工业化经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0041,YES,SELECTED_FOR_CONSTRUCTION
NAT-015,黑龙江七台河江河融合绿色智造产业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0042,YES,SELECTED_FOR_CONSTRUCTION
NAT-016,黑龙江绥化安达经济开发区精细化工产业园,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0043,YES,SELECTED_FOR_CONSTRUCTION
NAT-017,上海临港新片区零碳湾,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0044,YES,SELECTED_FOR_CONSTRUCTION
NAT-018,江苏盐城大丰港经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0045,NO,DESIGNATED
NAT-018,江苏盐城大丰港经济开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2024,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20251/ebf796a2685147b4819ce96fab3a6a61.pdf,S3E-0045,YES,DESIGNATED
NAT-019,江苏常州溧阳高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0046,YES,SELECTED_FOR_CONSTRUCTION
NAT-020,浙江台州温岭经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0047,YES,SELECTED_FOR_CONSTRUCTION
NAT-021,安徽宣城广德经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0048,YES,SELECTED_FOR_CONSTRUCTION
NAT-022,安徽阜阳经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0049,YES,SELECTED_FOR_CONSTRUCTION
NAT-023,福建厦门火炬高技术产业开发区同翔高新城,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0050,YES,SELECTED_FOR_CONSTRUCTION
NAT-024,福建宁德福鼎工业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0051,YES,SELECTED_FOR_CONSTRUCTION
NAT-025,福建漳州古雷港经济开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0052,NO,DESIGNATED
NAT-025,福建漳州古雷港经济开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2023,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20238/3ff037aa9258478aa7b05a7430313bc1.pdf,S3E-0052,YES,DESIGNATED
NAT-026,江西宜春经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0053,NO,DESIGNATED
NAT-026,江西宜春经济技术开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2023,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20238/3ff037aa9258478aa7b05a7430313bc1.pdf,S3E-0053,YES,DESIGNATED
NAT-027,山东烟台丁字湾新型能源创新区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0054,YES,SELECTED_FOR_CONSTRUCTION
NAT-028,山东东营垦利经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0055,YES,SELECTED_FOR_CONSTRUCTION
NAT-029,河南郑州航空港高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0056,YES,SELECTED_FOR_CONSTRUCTION
NAT-030,湖北荆门高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0057,NO,DESIGNATED
NAT-030,湖北荆门高新技术产业开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2024,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20251/ebf796a2685147b4819ce96fab3a6a61.pdf,S3E-0057,YES,DESIGNATED
NAT-031,湖南湘潭经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0058,YES,SELECTED_FOR_CONSTRUCTION
NAT-032,广东汕头濠江产业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0059,YES,SELECTED_FOR_CONSTRUCTION
NAT-033,广东湛江临港经济区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0060,YES,SELECTED_FOR_CONSTRUCTION
NAT-034,广西龙港新区玉林龙潭产业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0061,YES,SELECTED_FOR_CONSTRUCTION
NAT-035,广西北海铁山港（临海）工业区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0062,YES,SELECTED_FOR_CONSTRUCTION
NAT-036,广西百色战略性新兴产业园,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0063,YES,SELECTED_FOR_CONSTRUCTION
NAT-037,海南海口国家高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0064,YES,SELECTED_FOR_CONSTRUCTION
NAT-038,重庆两江新区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0065,YES,SELECTED_FOR_CONSTRUCTION
NAT-039,四川宜宾临港经济技术开发区东部产业园,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0066,YES,SELECTED_FOR_CONSTRUCTION
NAT-040,贵州贵阳大数据科创城,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0067,YES,SELECTED_FOR_CONSTRUCTION
NAT-041,云南大理祥云经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0068,YES,SELECTED_FOR_CONSTRUCTION
NAT-042,云南曲靖经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0069,NO,DESIGNATED
NAT-042,云南曲靖经济技术开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2024,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20251/ebf796a2685147b4819ce96fab3a6a61.pdf,S3E-0069,YES,DESIGNATED
NAT-043,西藏拉萨经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0070,NO,DESIGNATED
NAT-043,西藏拉萨经济技术开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2024,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20251/ebf796a2685147b4819ce96fab3a6a61.pdf,S3E-0070,YES,DESIGNATED
NAT-044,陕西咸阳三原高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0071,YES,SELECTED_FOR_CONSTRUCTION
NAT-045,甘肃金昌经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0072,YES,SELECTED_FOR_CONSTRUCTION
NAT-046,甘肃庆阳东数西算产业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0073,YES,SELECTED_FOR_CONSTRUCTION
NAT-047,青海西宁经济技术开发区南川工业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0074,YES,SELECTED_FOR_CONSTRUCTION
NAT-048,宁夏银川苏银产业园,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0075,YES,SELECTED_FOR_CONSTRUCTION
NAT-049,宁夏中卫工业园区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0076,YES,SELECTED_FOR_CONSTRUCTION
NAT-050,新疆乌鲁木齐甘泉堡经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0077,YES,SELECTED_FOR_CONSTRUCTION
NAT-051,新疆库尔勒上库高新技术产业开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0078,NO,DESIGNATED
NAT-051,新疆库尔勒上库高新技术产业开发区,NATIONAL,GREEN_INDUSTRIAL_PARK,DESIGNATED,2023,绿色制造名单公告附件,工业和信息化部,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20238/3ff037aa9258478aa7b05a7430313bc1.pdf,S3E-0078,YES,DESIGNATED
NAT-052,新疆生产建设兵团石河子经济技术开发区,NATIONAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2025,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,S3E-0079,NO,DESIGNATED
NAT-052,新疆生产建设兵团石河子经济技术开发区,NATIONAL,CIRCULAR_TRANSFORMATION_ACCEPTED,DESIGNATED,2021,园区循环化改造公开文件,国家发展和改革委员会,https://www.ndrc.gov.cn/hdjl/wsgsjdc/202110/P020211019410757706926.pdf,S3E-0079,YES,DESIGNATED
