evidence_id,park_id,date,evidence_type,metric,value,unit,statement,caveat,source_url,source_title,publisher,year
E011,NAT-002,2026-02-12,在建项目,电化学储能,1.05,GWh,天津经开区公开信息显示，园区电网侧有1.05 GWh大型电化学储能项目在建。,在建规模，不等于已投运容量和实际减排量。,https://www.teda.gov.cn/contents/13/104291.html,园区公开证据,中国政府网,2026
E012,I001,2026核验,国际案例,合作成员,16,家公共和私营机构,Kalundborg Symbiosis官网显示，当前伙伴关系由16家公共和私营机构组成，并自1972年持续发展。,用于治理和工业共生机制参考，不适用中国国家级零碳园区验收。,https://www.symbiosis.dk/en/,园区公开证据,公开资料发布机构,2026
E013,I002,2025-10-24,国际案例,风光装机,84.8,MW,GreenLab官网显示，其直接连接的混合能源园区已组合84.8 MW风电和光伏。,用于综合能源系统案例参考，需转换指标口径后比较。,https://www.greenlab.dk/knowledge/welcome-to-44-mwh-bess/,园区公开证据,公开资料发布机构,2025
E014,I002,2025-10-24,国际案例,可再生能源年产量,200—220,GWh/年,GreenLab官网披露混合能源园区年可再生能源产量为200—220 GWh。,用于案例参考，不是中国园区核算口径。,https://www.greenlab.dk/knowledge/welcome-to-44-mwh-bess/,园区公开证据,公开资料发布机构,2025
E015,I002,2025-10-24,国际案例,电池储能,44,MWh,GreenLab披露园区部署44 MWh电池储能系统。,设备规模不直接等于减排量。,https://www.greenlab.dk/knowledge/welcome-to-44-mwh-bess/,园区公开证据,公开资料发布机构,2025
E016,I004,UNIDO案例资料,国际案例,工业共生项目,35,个,UNIDO案例资料记录，Ulsan Mipo–Onsan已实施35个工业共生项目。,历史案例数据，用于识别工业共生商业模式，不用于当前绩效排名。,https://downloads.unido.org/ot/14/23/14234051/20190116bis-Final-Project%20document-International%20EIP%20Centre-SAPID160210.pdf,园区公开证据,公开资料发布机构,UNID
E017,I004,UNIDO案例资料,国际案例,年度二氧化碳减排,超过66,万吨CO2/年,UNIDO案例资料记录，相关项目年度二氧化碳减排超过66万吨。,历史项目汇总数据，边界与中国国家核算方法不同。,https://downloads.unido.org/ot/14/23/14234051/20190116bis-Final-Project%20document-International%20EIP%20Centre-SAPID160210.pdf,园区公开证据,公开资料发布机构,UNID
E018,I004,UNIDO案例资料,国际案例,年度经济节省,约1.4,亿美元/年,UNIDO案例资料记录，相关工业共生项目年度节省约1.4亿美元。,历史案例数据，价格和汇率不能直接套用到国内园区。,https://downloads.unido.org/ot/14/23/14234051/20190116bis-Final-Project%20document-International%20EIP%20Centre-SAPID160210.pdf,园区公开证据,公开资料发布机构,UNID
S3E-0008,NAT-001,2024,阶段3.6公开证据,规上工业企业工业总产值,6079.7,亿元,规上工业企业工业总产值已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://kfqgw.beijing.gov.cn/zwgkkfq/sj/tjsj/202506/P020260116634003359863.pdf,园区公开证据,中国政府网,2024
S3E-0009,NAT-001,2024,阶段3.6公开证据,高新技术企业数量,2300,个,高新技术企业数量已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://kfqgw.beijing.gov.cn/zwgkkfq/ghjh/zfgzbg/202502/t20250221_4016906.html,园区公开证据,中国政府网,2024
S3E-0010,NAT-001,2024,阶段3.6公开证据,声环境质量达标率,100,%,声环境质量达标率已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://kfqgw.beijing.gov.cn/zwgkkfq/sj/tjsj/202506/P020260116634003359863.pdf,园区公开证据,中国政府网,2024
S3E-0011,NAT-001,2024,阶段3.6公开证据,绿色工厂与绿色供应链企业数量,41,个,绿色工厂与绿色供应链企业数量已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://kfqgw.beijing.gov.cn/zwgkkfq/zfxxgk/fdzdgknr/zdmsxx/hjbh/202502/t20250219_4218988.html,园区公开证据,中国政府网,2024
S3E-0028,NAT-001,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0012,NAT-001,2022,阶段3.6公开证据,省级以上智能工厂占比,16,个,省级以上智能工厂占比已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://kfqgw.beijing.gov.cn/zwgkkfq/ztzl/lqztkfq/lqzx/zxxx/202401/t20240108_4234057.html,园区公开证据,中国政府网,2022
S3E-0029,NAT-002,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0030,NAT-003,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0031,NAT-004,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0032,NAT-005,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0033,NAT-006,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0034,NAT-007,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,园区循环化改造公开文件,国家发展和改革委员会,2025
S3E-0035,NAT-008,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0036,NAT-009,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,园区循环化改造公开文件,国家发展和改革委员会,2025
S3E-0037,NAT-010,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0038,NAT-011,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0039,NAT-012,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0040,NAT-013,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0041,NAT-014,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0042,NAT-015,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0043,NAT-016,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0044,NAT-017,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0045,NAT-018,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,园区循环化改造公开文件,国家发展和改革委员会,2025
S3E-0013,NAT-019,2025,阶段3.6公开证据,规上工业企业工业总产值,2115.3,亿元,规上工业企业工业总产值已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.liyang.gov.cn/html/czly/2026/MLHOQEJQ_0611/238748.html,园区公开证据,中国政府网,2025
S3E-0014,NAT-019,2024,阶段3.6公开证据,园区产业关联度,97,%,园区产业关联度已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.liyang.gov.cn/html/czly/2022/MLHOQEJQ_0311/168901.html,园区公开证据,中国政府网,2024
S3E-0015,NAT-019,2024,阶段3.6公开证据,高新技术企业数量,249,个,高新技术企业数量已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.liyang.gov.cn/html/czly/2022/MLHOQEJQ_0311/168901.html,园区公开证据,中国政府网,2024
S3E-0016,NAT-019,2024,阶段3.6公开证据,创新平台数量,105,个,创新平台数量已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.liyang.gov.cn/html/czly/2022/MLHOQEJQ_0311/168901.html,园区公开证据,中国政府网,2024
S3E-0017,NAT-019,2024,阶段3.6公开证据,绿色工厂与绿色供应链企业数量,7,个,绿色工厂与绿色供应链企业数量已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.liyang.gov.cn/html/czly/2022/MLHOQEJQ_0311/168901.html,园区公开证据,中国政府网,2024
S3E-0046,NAT-019,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0018,NAT-019,2025,阶段3.6公开证据,省级以上智能工厂占比,2,个,省级以上智能工厂占比已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.liyang.gov.cn/html/czly/2026/MLHOQEJQ_0611/238748.html,园区公开证据,中国政府网,2025
S3E-0047,NAT-020,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0048,NAT-021,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0049,NAT-022,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0050,NAT-023,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0051,NAT-024,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0001,NAT-025,2023,阶段3.6公开证据,规上工业企业工业总产值,788.8,亿元,规上工业企业工业总产值已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202411/t20241119_6568539.htm,园区公开证据,中国政府网,2023
S3E-0002,NAT-025,2025,阶段3.6公开证据,园区产业关联度,,%,园区产业关联度已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.fujian.gov.cn/zwgk/ztzl/sxzygwzxsgzx/sdjj/lsjj/202512/t20251210_7044445.htm,园区公开证据,中国政府网,2025
S3E-0003,NAT-025,2024,阶段3.6公开证据,技术引进与合作成果,,%,技术引进与合作成果已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202411/t20241119_6568539.htm,园区公开证据,中国政府网,2024
S3E-0004,NAT-025,2024,阶段3.6公开证据,环境空气质量达标率,,%,环境空气质量达标率已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202411/t20241119_6568539.htm,园区公开证据,中国政府网,2024
S3E-0005,NAT-025,2025,阶段3.6公开证据,再生水回用率,,%,再生水回用率已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.fujian.gov.cn/zwgk/ztzl/sxzygwzxsgzx/sdjj/lsjj/202512/t20251210_7044445.htm,园区公开证据,中国政府网,2025
S3E-0006,NAT-025,2025,阶段3.6公开证据,绿色工厂与绿色供应链企业数量,1,个,绿色工厂与绿色供应链企业数量已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.fujian.gov.cn/zwgk/ztzl/sxzygwzxsgzx/sdjj/lsjj/202512/t20251210_7044445.htm,园区公开证据,中国政府网,2025
S3E-0052,NAT-025,2025,阶段3.6公开证据,绿色低碳官方认定状态,2,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,园区循环化改造公开文件,国家发展和改革委员会,2025
S3E-0007,NAT-025,2024,阶段3.6公开证据,智慧园区建设水平,,等级,智慧园区建设水平已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://gxt.fujian.gov.cn/zwgk/xw/hydt/snhydt/202411/t20241119_6568539.htm,园区公开证据,中国政府网,2024
S3E-0053,NAT-026,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,园区循环化改造公开文件,国家发展和改革委员会,2025
S3E-0054,NAT-027,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0055,NAT-028,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0056,NAT-029,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0057,NAT-030,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,园区循环化改造公开文件,国家发展和改革委员会,2025
S3E-0058,NAT-031,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0059,NAT-032,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0060,NAT-033,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0061,NAT-034,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0062,NAT-035,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0063,NAT-036,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0064,NAT-037,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0065,NAT-038,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0066,NAT-039,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
S3E-0067,NAT-040,2025,阶段3.6公开证据,绿色低碳官方认定状态,1,项,绿色低碳官方认定状态已有公开证据；正式评价前仍需核对园区边界、年度和口径。,公开数据仅作为证据，不等同于综合绿色绩效；缺失不得解释为0。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,国家级零碳园区建设名单（第一批）,国家发展和改革委员会,2025
